ペンが三本;Three pens
本が四冊;Four books
猫が一匹;One cat
コップが二つ;Two cups
車が一台;One car
紙が五枚;Five sheets of paper
コーヒーが一杯;One cup of coffee
学生が三人;Three students
りんごが六個;Six apples
魚が二匹;Two fish
ノートが三冊;Three notebooks
パソコンが一台;One computer
お茶が一杯;One cup of tea
子供が四人;Four children
ボールが二つ;Two balls
犬が一匹;One dog
雑誌が二冊;Two magazines
電話が一台;One telephone
切手が五枚;Five stamps
水が一杯;One glass of water
男の人が二人;Two men
女の人が一人;One woman
いすが三つ;Three chairs
ケーキが二つ;Two cakes
牛が一匹;One cow
辞書が一冊;One dictionary
テレビが一台;One television
写真が三枚;Three photos
ジュースが一杯;One glass of juice
先生が一人;One teacher
箱が四つ;Four boxes
鳥が二羽;Two birds
新聞が一冊;One newspaper
冷蔵庫が一台;One refrigerator
チケットが二枚;Two tickets
ビールが一杯;One glass of beer
友達が三人;Three friends
卵が五つ;Five eggs
馬が一匹;One horse
漫画が三冊;Three comic books
掃除機が一台;One vacuum cleaner
名刺が四枚;Four business cards
ワインが一杯;One glass of wine
医者が二人;Two doctors
時計が一つ;One clock
みかんが三つ;Three mandarin oranges
蛇が一匹;One snake
手紙が二通;Two letters
プリンターが一台;One printer
CDが一枚;One CD
お水が一杯;One glass of water
りんごがみっつ;Three small red apples
ほんがよんさつ;Four books
パソコンがにだい;Two laptops
いぬがごひき;Five dogs
えんぴつがろっぽん;Six pencils
かみがななまい;Seven pieces of paper
コーヒーがにはい;Two cups of coffee
人がはちにん;Eight people
ボールがきゅうつ;Nine balls
ハンバーガーがいっこ;One hamburger
けしゴムがじっこ;Ten erasers
まんががごさつ;Five manga
スマホがいちだい;One smartphone
ねこがいっぴき;One cat
かさがいっぽん;One umbrella
チケットがにまい;Two tickets
ジュースがさんばい;Three glasses of juice
先生がひとり;One teacher
オレンジがよんこ;Four oranges
ざっしがろくさつ;Six magazines
れいぞうこがにだい;Two refrigerators
カエルがさんびき;Three frogs
ペンがはっぽん;Eight pens
きってがごまい;Five stamps
おちゃがよんはい;Four cups of tea
学生がふたり;Two students
いしがななつ;Seven stones
ドーナツがきゅうこ;Nine donuts
いぬがにひき;Two dogs
飲み物がにはい;Two drinks
