どこかに行きましたか。; Did you go somewhere?
どこにも行きませんでした。; I didn't go anywhere.
週末にどこかに出かけますか。; Will you go out somewhere this weekend?
いいえ、どこにも出かけません。; No, I won't go out anywhere.
図書館のどこかに私の本がありますか。; Is my book somewhere in the library?
いいえ、どこにもありません。; No, it's not anywhere.
昼ごはんにどこかに行きませんか。; Shall we go somewhere for lunch?
今、どこにも行きたくない。; I don't want to go anywhere now.
ニューヨークのどこかに面白い美術館がありますか。; Is there an interesting museum somewhere in New York?
この近くのどこかにいいレストランがありますか。; Is there a good restaurant somewhere near here?
バッグの中のどこかに鍵があります。; My keys are somewhere in my bag.
彼の部屋のどこにも写真がありません。; There are no photos anywhere in his room.
パーティーでどこかに山田さんを見ましたか。; Did you see Yamada-san somewhere at the party?
いいえ、どこにもいませんでした。; No, I didn't see him anywhere.
どこかに安いホテルを予約しましたか。; Did you reserve a cheap hotel somewhere?
どこにも予約していません。; I haven't reserved anywhere.
このカタログのどこかに答えがあります。; The answer is somewhere in this catalog.
私のノートのどこにもその電話番号がありません。; That phone number isn't anywhere in my notebook.
どこかに座りましょう。; Let's sit down somewhere.
この公園のどこにも空いているベンチがありません。; There isn't an empty bench anywhere in this park.
ニューヨークのどこかでコンサートがあります。; There is a concert somewhere in New York.
夏休みにどこかへ旅行しますか。; Will you travel somewhere for summer vacation?
どこへも旅行しません。; I won't travel anywhere.
どこかでコーヒーを買いませんか。; Shall we buy coffee somewhere?
時間がないから、どこでもいいです。; I don't have time, so anywhere is fine.
どこかで昼ごはんを食べましたか。; Did you eat lunch somewhere?
いいえ、どこでも食べませんでした。; No, I didn't eat anywhere.
このかばんのどこかにペンがあります。; There is a pen somewhere in this bag.
引き出しのどこにもありません。; It's not anywhere in the drawer.
どこかで財布をなくしました。; I lost my wallet somewhere.
駅のどこかで会いましょう。; Let's meet somewhere in the station.
この道のどこかにタクシーがいますか。; Is there a taxi somewhere on this street?
今、どこにもいません。; There aren't any anywhere now.
どこかから音楽が聞こえます。; I can hear music from somewhere.
この学校のどこにも私の友達がいません。; My friend isn't anywhere in this school.
ニューヨークのどこかでフードフェスティバルがあります。; There is a food festival somewhere in New York.
どこかでジュースを飲みますか。; Will you drink juice somewhere?
どこでもいいです。; Anywhere is fine.
マンハッタンのどこかに安い店があります。; There is a cheap store somewhere in Manhattan.
このビルのどこかにトイレがありますか。; Is there a bathroom somewhere in this building?
どこにもありません。; There isn't one anywhere.
どこかでこの本を買いましたか。; Did you buy this book somewhere?
いいえ、どこでも買いませんでした。; No, I didn't buy it anywhere.
どこかへ遊びに行きましょう。; Let's go somewhere to have fun.
今日はどこへも行きません。; I'm not going anywhere today.
カフェのどこかにコンセントがあります。; There is an outlet somewhere in the cafe.
このレストランのどこにも空いている席がありません。; There isn't a free seat anywhere in this restaurant.
どこかで猫を見ました。; I saw a cat somewhere.
私のアパートの近くのどこかにコンビニがあります。; There is a convenience store somewhere near my apartment.
どこにもコンビニがありません。; There isn't a convenience store anywhere.
ニューヨークのどこかで大きなパレードがあります。; There is a big parade somewhere in New York.
どこかで宿題を忘れました。; I forgot my homework somewhere.
どこかにあなたの傘がありますよ。; Your umbrella is somewhere.
どこにも見つかりません。; I can't find it anywhere.
