メアリーさんは にほんじんじゃないです; Mary is not Japanese.
これは ほんじゃないです; This is not a book.
それは えんぴつじゃないです; That is not a pencil.
あれは じてんしゃじゃないです; That over there is not a bicycle.
わたしは がくせいじゃないです; I am not a student.
あなたは せんせいじゃないです; You are not a teacher.
これは ざっしじゃないです; This is not a magazine.
それは かさじゃないです; That is not an umbrella.
あれは とけいじゃないです; That over there is not a watch.
わたしは アメリカじんじゃないです; I am not American.
これは ノートじゃないです; This is not a notebook.
それは しんぶんじゃないです; That is not a newspaper.
あれは くつじゃないです; That over there is not shoes.
メアリーさんは かいしゃいんじゃないです; Mary is not a company employee.
これは じしょじゃないです; This is not a dictionary.
それは てがみじゃないです; That is not a letter.
あれは くるまじゃないです; That over there is not a car.
わたしは イギリスじんじゃないです; I am not British.
これは かばんじゃないです; This is not a bag.
それは いすじゃないです; That is not a chair.
あれは つくえじゃないです; That over there is not a desk.
あなたは いしゃじゃないです; You are not a doctor.
これは でんわじゃないです; This is not a telephone.
それは ボールペンじゃないです; That is not a ballpoint pen.
あれは ぼうしじゃないです; That over there is not a hat.
メアリーさんは がくせいじゃないです; Mary is not a student.
これは チョコレートじゃないです; This is not chocolate.
それは コーヒーじゃないです; That is not coffee.
あれは みずじゃないです; That over there is not water.
わたしは カナダじんじゃないです; I am not Canadian.
これは パンじゃないです; This is not bread.
それは おちゃじゃないです; That is not tea.
あれは ワインじゃないです; That over there is not wine.
あなたは エンジニアじゃないです; You are not an engineer.
これは ミルクじゃないです; This is not milk.
それは ジュースじゃないです; That is not juice.
あれは ビールじゃないです; That over there is not beer.
メアリーさんは オーストラリアじんじゃないです; Mary is not Australian.
これは ケーキじゃないです; This is not cake.
それは サンドイッチじゃないです; That is not a sandwich.
あれは ラジオじゃないです; That over there is not a radio.
わたしは ブラジルじんじゃないです; I am not Brazilian.
これは テレビじゃないです; This is not a TV.
それは カメラじゃないです; That is not a camera.
あれは コンピューターじゃないです; That over there is not a computer.
あなたは けいさつかんじゃないです; You are not a police officer.
これは アイスクリームじゃないです; This is not ice cream.
それは ハンバーガーじゃないです; That is not a hamburger.
あれは テーブルじゃないです; That over there is not a table.
メアリーさんは フランスじんじゃないです; Mary is not French.
