写真をたくさん撮りました; I took many pictures
友達がたくさんいます; I have many friends
たくさん本を読みました; I read many books
たくさん音楽を聞きます; I listen to a lot of music
コーヒーをたくさん飲みました; I drank a lot of coffee
中央公園でたくさん歩きました; I walked a lot in Central Park
学生がたくさんいます; There are many students
日本語をたくさん勉強します; I study a lot of Japanese
りんごをたくさん買いました; I bought many apples
時間がたくさんあります; I have a lot of time
メトロポリタン美術館でたくさん写真を撮りました; I took many pictures at the Metropolitan Museum of Art
たくさん映画を見ます; I watch many movies
たくさん宿題があります; I have a lot of homework
ニューヨークにたくさん人がいます; There are many people in New York
お金をたくさん使いました; I used a lot of money
たくさん質問があります; I have many questions
たくさんピザを食べました; I ate a lot of pizza
たくさん手紙を書きます; I write many letters
たくさん雑誌があります; There are many magazines
たくさん仕事があります; I have a lot of work
図書館に本がたくさんあります; There are many books in the library
バッグに物がたくさんあります; There are many things in the bag
たくさん果物を食べます; I eat a lot of fruit
たくさん水を飲んでください; Please drink a lot of water
たくさんケーキを作りました; I made a lot of cake
たくさん英語を話します; I speak a lot of English
たくさんニュースを見ます; I watch a lot of news
たくさんテレビを見ません; I don't watch a lot of TV
たくさん日本語を練習します; I practice a lot of Japanese
たくさん切手を集めます; I collect many stamps
たくさんコーヒーショップがあります; There are many coffee shops
たくさん車があります; There are many cars
たくさん自転車に乗りました; I rode a bicycle a lot
たくさん手伝いが必要です; I need a lot of help
たくさんプレゼントをもらいました; I received many presents
たくさんメールを書きました; I wrote many emails
たくさんパンを買いました; I bought a lot of bread
たくさんチョコレートが好きです; I like a lot of chocolate
たくさんスープを作りました; I made a lot of soup
たくさんビールを飲みません; I don't drink a lot of beer
たくさん子供が遊んでいます; Many children are playing
たくさん花が咲いています; Many flowers are blooming
たくさん星が見えます; I can see many stars
たくさん魚がいます; There are many fish
たくさんチケットを買いました; I bought many tickets
たくさん料理を習いました; I learned a lot of cooking
たくさん歌を歌いました; I sang many songs
タイムズスクエアにたくさん看板があります; There are many signs in Times Square
たくさん電車があります; There are many trains
