テレビを見ています; I am watching TV.
ニューヨークに住んでいます; I live in New York.
コーヒーを飲んでいます; I am drinking coffee.
日本語を勉強しています; I am studying Japanese.
友達と話しています; I am talking with my friend.
今、新聞を読んでいます; I am reading the newspaper now.
母に電話をしています; I am calling my mother.
音楽を聞いています; I am listening to music.
宿題をしています; I am doing homework.
図書館で本を借りています; I am borrowing a book at the library.
セントラルパークを散歩しています; I am walking in Central Park.
駅で電車を待っています; I am waiting for the train at the station.
レポートを書いています; I am writing a report.
晩ご飯を作っています; I am making dinner.
兄とゲームをしています; I am playing a game with my older brother.
タイムズスクエアで写真を撮っています; I am taking pictures in Times Square.
窓を開けています; I am opening the window.
ドアを閉めています; I am closing the door.
手を洗っています; I am washing my hands.
歯を磨いています; I am brushing my teeth.
メールを送っています; I am sending an email.
今、雨が降っています; It is raining now.
先生が教室に入っています; The teacher is entering the classroom.
学生が答えを考えています; The student is thinking about the answer.
父が仕事から帰っています; My father is coming home from work.
猫が寝ています; The cat is sleeping.
メトロポリタン美術館を見学しています; I am touring the Metropolitan Museum of Art.
エンパイアステートビルを上がっています; I am going up the Empire State Building.
ホットドッグを食べています; I am eating a hot dog.
バスに乗っています; I am riding the bus.
地下鉄の地図を見ています; I am looking at the subway map.
ニューヨークに旅行しています; I am traveling in New York.
カメラを持っています; I have a camera. (I am holding a camera)
黒い服を着ています; I am wearing black clothes.
眼鏡をかけています; I am wearing glasses.
タクシーを呼んでいます; I am calling a taxi.
ブロードウェイのミュージカルを見ています; I am watching a Broadway musical.
喫茶店で働いています; I am working at a coffee shop.
大学で経済学を教えています; I am teaching economics at the university.
サッカーをしています; I am playing soccer.
ラジオを聞いています; I am listening to the radio.
彼は今、シャワーを浴びています; He is taking a shower now.
彼女は歌を歌っています; She is singing a song.
子供たちが公園で遊んでいます; The children are playing in the park.
私は今、ニューヨークに滞在しています; I am staying in New York now.
自由の女神を見ています; I am looking at the Statue of Liberty.
5番街で買い物をしています; I am shopping on 5th Avenue.
彼は新聞配達をしています; He is delivering newspapers.
会議の準備をしています; I am preparing for a meeting.
