田中と申します; My name is Tanaka.
ニューヨークの美術館で働いております; I work at a museum in New York.
セントラルパークへ参りましょうか; Shall we go to Central Park?
こちらが私の住まいでございます; This is where I live.
時間が少々かかると存じます; I believe it will take a little time.
明日の天気が心配でございます; I am worried about tomorrow's weather.
コーヒーでよろしければ、すぐにお持ちします; If coffee is acceptable, I will bring it right away.
エンパイアステートビルをご案内いただけませんか; Would you be so kind as to show me the Empire State Building?
こちらでお待ちしております; I will be waiting here.
私の傘をお使いくださいませ; Please use my umbrella.
メトロポリタン美術館はあちらでございます; The Metropolitan Museum of Art is over there.
ボランティアをしております; I am volunteering.
タクシーを呼んでまいります; I will go and call a taxi.
写真を撮っていただけませんでしょうか; Would you be so kind as to take a photo?
ニューヨークの地下鉄は少し複雑でございます; The New York subway is somewhat complex.
地図をお貸しいたします; I will lend you a map.
お手洗いはあちらの階段のそばでございます; The restroom is near the stairs over there.
次の電車までしばらくお時間がございます; You have some time before the next train.
ブロードウェイのミュージカルを申し込みました; I have applied for tickets to a Broadway musical.
お名前を伺ってもよろしいでしょうか; May I ask your name?
こちらが私の名刺でございます; This is my business card.
お会いできて大変嬉しく存じます; I am very pleased to meet you.
荷物をお持ちいたします; I will carry your luggage.
カフェでお茶でもいかがでしょうか; How about some tea at a café?
ロックフェラーセンターへはどう行けばよろしいですか; How should I go to Rockefeller Center?
申し訳ございませんが、道がわからなくて; I am terribly sorry, but I am lost.
チケットをお取りいたします; I will get the tickets for you.
このレストランは高すぎると存じます; I believe this restaurant is too expensive.
週末は混雑いたします; It gets crowded on weekends.
少し寒うございます; It is a little cold.
お電話番号をお聞きしてもよろしいですか; May I hear your phone number?
後ほど折り返しお電話いたします; I will call you back later.
アポイントをキャンセルさせていただきます; I would like to cancel the appointment.
この書類にご記入くださいませ; Please fill out this form.
ニューヨークの歴史を勉強しております; I am studying the history of New York.
5月5日に日本文化のイベントがございます; There is a Japanese culture event on May 5th.
こちらでサインをお願いいたします; Please sign here.
お飲み物は何がよろしいでしょうか; What would you like to drink?
観光バスの予約をいたしました; I have made a reservation for the sightseeing bus.
自由の女神像はとても大きくて驚きました; I was surprised at how big the Statue of Liberty was.
週末は家で映画を見ております; I watch movies at home on weekends.
お困りのことがございましたら、お申し付けください; If there is anything you are troubled with, please let me know.
到着が遅くなり、申し訳ございません; I am sorry for my late arrival.
この近くに良いレストランがございませんか; Is there a good restaurant near here?
ワールドトレードセンターへお連れいたします; I will take you to the World Trade Center.
日本語を勉強していると申しました; I mentioned that I am studying Japanese.
こちらが最終の電車でございます; This is the last train.
お手伝いできることがございましたら; If there is anything I can help you with.
9時までに戻ってまいります; I will return by 9 o'clock.
グラウンドゼロはとても静かな場所でございます; Ground Zero is a very quiet place.
お言葉に甘えて、そうさせていただきます; I will take you up on your offer and do so.
