私はよくテレビを見ます; I often watch TV
ニューヨークの友達にメールを書きます; I write an email to my friend in New York
毎朝コーヒーを飲みます; I drink coffee every morning
セントラルパークで写真を撮ります; I take pictures in Central Park
時々図書館で勉強します; I sometimes study at the library
晩ご飯を食べます; I eat dinner
マンハッタンでバスを降ります; I get off the bus in Manhattan
日本語の本を読みます; I read a Japanese book
土曜日に仕事をします; I work on Saturday
音楽を聞きます; I listen to music
あのレストランで昼ご飯を食べます; I eat lunch at that restaurant
ブロードウェイでミュージカルを見ます; I see a musical on Broadway
学校で英語を勉強します; I study English at school
よくニューヨークの地図を見ます; I often look at a map of New York
コーヒーショップで宿題をします; I do my homework at a coffee shop
友達と電話をします; I talk on the phone with my friend
駅で新聞を買います; I buy a newspaper at the station
月曜日から金曜日まで働きます; I work from Monday to Friday
夜、映画を見ます; I watch a movie at night
高いビルを見ます; I see tall buildings
週末にテニスをします; I play tennis on the weekend
モダンアートミュージアムへ行きます; I go to the Museum of Modern Art
日本語のクラスがあります; I have a Japanese class
朝、パンと卵を食べます; I eat bread and eggs in the morning
地下鉄に乗ります; I ride the subway
あの大きいスーパーで買い物をします; I shop at that big supermarket
ニューヨークはにぎやかな町です; New York is a lively town
自由の女神は有名な像です; The Statue of Liberty is a famous statue
タイムズスクエアは明るいです; Times Square is bright
セントラルパークは大きい公園です; Central Park is a big park
あの建物は高いです; That building is tall
私のアパートは新しいです; My apartment is new
これは古い駅です; This is an old station
私のカメラはいいです; My camera is good
このレストランのコーヒーはおいしいです; The coffee at this restaurant is delicious
あの店のパンはまずいです; The bread from that store is not tasty
ニューヨークの冬は寒いです; New York winters are cold
夏の日は暑いです; Summer days are hot
その問題は難しいです; That problem is difficult
このテストは簡単です; This test is easy
その男の人は親切です; That man is kind
私の先生は厳しいです; My teacher is strict
ここは静かな図書館です; This is a quiet library
彼女はきれいな人です; She is a beautiful person
これは便利な地下鉄です; This is a convenient subway
あれは有名な美術館です; That is a famous art museum
これは高くないカメラです; This is not an expensive camera
私の部屋は広くないです; My room is not spacious
今日は寒くないです; It is not cold today
その本は新しくないです; That book is not new
ここは静かではありません; It is not quiet here
