ドアを開けます; I open the door.
ドアが開きます; The door opens.
電気をつけます; I turn on the light.
電気がつきます; The light turns on.
エアコンを止めます; I turn off the air conditioner.
エアコンが止まります; The air conditioner stops.
窓を閉めます; I close the window.
窓が閉まります; The window closes.
パソコンを壊しました; I broke my computer.
パソコンが壊れました; My computer broke.
服を汚しました; I got my clothes dirty.
服が汚れました; My clothes got dirty.
コップを落としました; I dropped the glass.
コップが落ちました; The glass fell.
財布をなくしました; I lost my wallet.
財布がなくなりました; My wallet got lost.
音楽を始めます; I will start the music.
音楽が始まります; The music will start.
会議を終えます; I will end the meeting.
会議が終わります; The meeting will end.
ケーキを温めます; I warm up the cake.
ケーキが温まります; The cake gets warm.
車を止めます; I stop the car.
車が止まります; The car stops.
エレベーターを動かします; I operate the elevator.
エレベーターが動きます; The elevator moves.
CDを回します; I spin the CD.
CDが回ります; The CD spins.
ボタンを押します; I push the button.
ボタンが押さります; The button gets pushed.
コインを集めます; I collect coins.
コインが集まります; Coins gather.
写真を並べます; I line up the pictures.
写真が並びます; The pictures line up.
資料を揃えます; I organize the documents.
資料が揃います; The documents become organized.
切符をしまいます; I put away the ticket.
切符がしまいます; The ticket gets put away.
カーテンをかけます; I hang the curtain.
カーテンがかかります; The curtain hangs.
ニューヨークの地図を広げます; I spread out a map of New York.
ニューヨークの地図が広がります; The map of New York spreads out.
ゴミを出します; I take out the trash.
ゴミが出ます; The trash comes out.
セントラルパークで道を曲がります; I turn on the road in Central Park.
セントラルパークで道が曲がります; The road bends in Central Park.
自転車を降ります; I get off the bicycle.
自転車が降ります; (Uncommon, but for the pair) The bicycle gets off (e.g., from a rack).
飛行機を乗り換えます; I transfer planes.
飛行機が乗り換わります; The plane changes (for a transfer).
タイムズスクエアに人を並べます; I line up people in Times Square.
タイムズスクエアに人が並びます; People line up in Times Square.
ミュージカルの切符を売ります; I sell musical tickets.
ミュージカルの切符が売ります; The musical tickets sell.
英語を教えます; I teach English.
英語が教わります; I am taught English (I learn English).
答えを知らせます; I notify the answer.
答えが知らされます; The answer is notified.
経済について話します; I talk about the economy.
経済について話されます; The economy is talked about.
自由の女神を見せます; I show the Statue of Liberty.
自由の女神が見せられます; The Statue of Liberty is shown.
メトロポリタン美術館を紹介します; I introduce the Metropolitan Museum of Art.
メトロポリタン美術館が紹介されます; The Metropolitan Museum of Art is introduced.
レポートを書きます; I write a report.
レポートが書かれます; The report is written.
日本語を勉強します; I study Japanese.
日本語が勉強されます; Japanese is studied.
コーヒーを飲みます; I drink coffee.
コーヒーが飲まれます; Coffee is drunk.
ピザを食べます; I eat pizza.
ピザが食べられます; Pizza is eaten.
手紙を読みます; I read the letter.
手紙が読まれます; The letter is read.
ニュースを聞きます; I listen to the news.
ニュースが聞かれます; The news is listened to.
音楽を聞きます; I listen to music.
音楽が聞かれます; Music is listened to.
写真を見ます; I look at the picture.
写真が見られます; The picture is seen.
車を使います; I use the car.
車が使われます; The car is used.
スマホを作ります; I make a smartphone.
スマホが作られます; A smartphone is made.
ルールを決めます; I decide the rules.
ルールが決まります; The rules are decided.
問題を解決します; I solve the problem.
問題が解決します; The problem gets solved.
ブロードウェイのチケットを予約します; I reserve a Broadway ticket.
ブロードウェイのチケットが予約されます; The Broadway ticket is reserved.
エンパイアステートビルを建てました; They built the Empire State Building.
エンパイアステートビルが建ちました; The Empire State Building was built.
カフェでコーヒーを入れます; I make (pour) coffee at the cafe.
カフェでコーヒーが入ります; Coffee is made (pours) at the cafe.
プレゼントを贈ります; I give a present.
プレゼントが贈られます; A present is given.
高層ビルを設計します; I design a skyscraper.
高層ビルが設計されます; A skyscraper is designed.
バスを待ちます; I wait for the bus.
バスが待たれます; The bus is waited for.
ニューヨークを散歩します; I walk around New York.
ニューヨークが散歩されます; New York is walked around (by people).
地下鉄に乗ります; I ride the subway.
地下鉄が乗られます; The subway is ridden.
5番街で買い物をします; I go shopping on 5th Avenue.
5番街で買い物をされます; Shopping is done on 5th Avenue.
公園のベンチを壊しました; Someone broke the park bench.
公園のベンチが壊れました; The park bench broke.
