明日は雨が降るかもしれません; It might rain tomorrow.
ニューヨークのセントラルパークでコンサートがあるかもしれません; There might be a concert in Central Park in New York.
彼は図書館にいるかもしれません; He might be in the library.
あのレストランの料理は高いかもしれません; The food at that restaurant might be expensive.
友達が今夜電話をかけてくるかもしれません; My friend might call me tonight.
試験は難しいかもしれません; The exam might be difficult.
新しい映画を見に行くかもしれません; I might go see the new movie.
電車が遅れているかもしれません; The train might be delayed.
この本は面白いかもしれません; This book might be interesting.
コーヒーがもうないかもしれません; There might be no coffee left.
ジムで鈴木さんに会うかもしれません; I might meet Suzuki at the gym.
ニューヨークの冬は寒いかもしれません; Winters in New York might be cold.
彼女は病気かもしれません; She might be sick.
パーティーにたくさん人が来るかもしれません; Many people might come to the party.
あの店は今日閉まっているかもしれません; That store might be closed today.
バスで行く方が早いかもしれません; It might be faster to go by bus.
このケーキは甘すぎるかもしれません; This cake might be too sweet.
ニューヨークの地下鉄は複雑かもしれません; The New York subway might be complicated.
明日の会議は長いかもしれません; Tomorrow's meeting might be long.
財布を家に忘れたかもしれません; I might have left my wallet at home.
猫がソファの下にいるかもしれません; The cat might be under the sofa.
この薬は効くかもしれません; This medicine might work.
彼はそのニュースを知らないかもしれません; He might not know that news.
タイムズスクエアでイベントがあるかもしれません; There might be an event in Times Square.
日本語のクラスが楽しいかもしれません; The Japanese class might be fun.
飛行機のチケットが安いかもしれません; The airplane tickets might be cheap.
あの映画はつまらないかもしれません; That movie might be boring.
彼はもう家に帰ったかもしれません; He might have already gone home.
公園でサッカーをするかもしれません; I might play soccer in the park.
ニューヨークの美術館は混んでいるかもしれません; The museums in New York might be crowded.
宿題がたくさんあるかもしれません; There might be a lot of homework.
レポートを書く時間がないかもしれません; I might not have time to write the report.
あのカフェのコーヒーはおいしいかもしれません; The coffee at that cafe might be delicious.
音楽が大きすぎるかもしれません; The music might be too loud.
外は暗いかもしれません; It might be dark outside.
先生が優しいかもしれません; The teacher might be kind.
自由の女神を見に行くかもしれません; I might go see the Statue of Liberty.
テストの結果が良いかもしれません; The test results might be good.
友達とショッピングモールに行くかもしれません; I might go to the mall with my friend.
ニューヨークのピザは有名かもしれません; New York pizza might be famous.
電車の中で本を読むかもしれません; I might read a book on the train.
あの歌手のコンサートは高いかもしれません; That singer's concert might be expensive.
公園で犬を散歩させるかもしれません; I might walk the dog in the park.
明日は雪が降るかもしれません; It might snow tomorrow.
仕事が忙しいかもしれません; Work might be busy.
バッグが重いかもしれません; The bag might be heavy.
ニューヨークで旧友に会うかもしれません; I might meet an old friend in New York.
晩ご飯を食べすぎたかもしれません; I might have eaten too much dinner.
図書館で勉強するかもしれません; I might study at the library.
あのビルの展望台から景色がきれいかもしれません; The view from that building's observatory might be beautiful.
