お待ちします; I will humbly wait.
お持ちします; I will humbly carry it.
お聞きします; I will humbly listen/ask.
お預かりします; I will humbly take custody of it.
お送りします; I will humbly send it.
案内いたします; I will humbly guide you.
中央公園でお待ちします; I will humbly wait in Central Park.
メトロポリタン美術館へご案内いたします; I will humbly guide you to the Metropolitan Museum of Art.
レポートをお持ちします; I will humbly bring the report.
コーヒーをお持ちしました; I humbly brought coffee.
明日、お電話いたします; I will humbly call you tomorrow.
地図をお送りします; I will humbly send the map.
荷物をお預かりします; I will humbly take care of your luggage.
タクシーをお呼びします; I will humbly call a taxi.
席をご案内いたします; I will humbly show you to your seat.
エンパイアステートビルの切符をお持ちします; I will humbly bring the tickets for the Empire State Building.
ブロードウェイのチケットを予約いたします; I will humbly reserve Broadway tickets.
ニューヨークの天気をお調べします; I will humbly check the weather in New York.
レストランをご予約いたします; I will humbly make a restaurant reservation.
図書館で本をお借りします; I will humbly borrow the book from the library.
日本語でご説明いたします; I will humbly explain in Japanese.
ミーティングの時間をお知らせします; I will humbly inform you of the meeting time.
空港までお迎えに参ります; I will humbly come to pick you up at the airport.
写真をお撮りします; I will humbly take a photo.
高橋さんをお誘いします; I will humbly invite Mr./Ms. Takahashi.
駅までの道をお教えします; I will humbly tell you the way to the station.
資料をお調べします; I will humbly look into the materials.
お名前をお伺いします; May I humbly ask your name?
ロッカーの鍵をお返しします; I will humbly return the locker key.
カフェでお会いします; I will humbly meet you at the cafe.
お手伝いいたします; I will humbly help you.
メールをお送りいたします; I will humbly send an email.
グラウンドゼロを見学いたします; I will humbly visit Ground Zero.
週末の予定をお聞きします; I will humbly ask about your weekend plans.
タイムズスクエアで写真をお撮りします; I will humbly take a picture in Times Square.
日本語の本をお貸しします; I will humbly lend you a Japanese book.
地下鉄の乗り方をお教えします; I will humbly teach you how to ride the subway.
ホテルまでご案内いたします; I will humbly guide you to the hotel.
音楽のコンサートをお勧めします; I will humbly recommend a music concert.
ニューヨークの歴史を勉強いたします; I will humbly study New York's history.
コーネル大学へ参ります; I will humbly go to Cornell University.
プレゼントをお渡しします; I will humbly hand over the present.
自由の女神を見学いたします; I will humbly go see the Statue of Liberty.
会議の内容をメモいたします; I will humbly take notes on the meeting content.
カーネギーホールのイベントをご案内いたします; I will humbly inform you about an event at Carnegie Hall.
アポイントメントをキャンセルいたします; I will humbly cancel the appointment.
レシートをお渡しします; I will humbly give you the receipt.
プロジェクトを手伝います; I will humbly help with the project.
住所をお聞きします; May I humbly ask for your address?
昼ごはんをお持ちします; I will humbly bring lunch.
