頭が痛いんです;I have a headache.
熱があるんです;I have a fever.
宿題があるんです;I have homework.
時間がないんです;I don't have time.
約束があるんです;I have an appointment.
電車が遅れたんです;The train was delayed.
道に迷ったんです;I got lost.
財布を忘れたんです;I forgot my wallet.
疲れているんです;I'm tired.
お腹が空いているんです;I'm hungry.
トイレに行きたいんです;I want to go to the bathroom.
写真を撮りたいんです;I want to take a picture.
地图が必要なんです;I need a map.
助けが必要なんです;I need help.
日本語を勉強しているんです;I'm studying Japanese.
ニューヨークに行ったんです;I went to New York.
セントラルパークでピクニックをしたんです;I had a picnic in Central Park.
メッツの試合を見たんです;I watched a Mets game.
自由の女神を見学したんです;I visited the Statue of Liberty.
ブロードウェイのミュージカルを見たんです;I saw a Broadway musical.
とても混んでいたんです;It was very crowded.
天気が悪かったんです;The weather was bad.
雨が降っていたんです;It was raining.
雪が積もっていたんです;Snow had piled up.
友達が来るんです;My friend is coming.
家族に会うんです;I'm meeting my family.
空港へ迎えに行くんです;I'm going to pick them up at the airport.
駅で待ち合わせなんです;I'm meeting someone at the station.
予約をしなければならないんです;I have to make a reservation.
チケットを買わなければならないんです;I have to buy a ticket.
パスポートをなくしたんです;I lost my passport.
カメラが壊れたんです;My camera is broken.
コーヒーをこぼしたんです;I spilled coffee.
新しい靴を買ったんです;I bought new shoes.
プレゼントを探しているんです;I'm looking for a present.
地下鉄の乗り方がわからないんです;I don't know how to ride the subway.
5番街への行き方を聞いているんです;I'm asking for directions to 5th Avenue.
エンパイアステートビルに行きたいんです;I want to go to the Empire State Building.
メトロポリタン美術館は休館なんです;The Metropolitan Museum of Art is closed.
週末は忙しいんです;I'm busy on the weekend.
月曜日は休みなんです;I'm off on Monday.
ちょっと用事があるんです;I have something to do.
レポートを書かなければならないんです;I have to write a report.
試験があるんです;I have an exam.
映画のチケットが余っているんです;I have an extra movie ticket.
コンサートに行けないんです;I can't go to the concert.
ニューヨークが好きなんです;I like New York.
ホットドッグを食べたんです;I ate a hot dog.
タクシーを呼ぶんです;I'm calling a taxi.
