ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M01MCEA,What is the morning greeting?  ,おはようございます.mp3,こんにちは.mp3,こんばんは.mp3,おやすみなさい.mp3,さようなら.mp3,1  
2,M01MCEA,What is the midday greeting?  ,おはよう.mp3,こんにちは.mp3,こんばんは.mp3,ありがとう.mp3,さようなら.mp3,2  
3,M01MCEA,What is the evening greeting?  ,おはよう.mp3,こんにちは.mp3,こんばんは.mp3,おやすみ.mp3,ありがとう.mp3,3  
4,M01MCEA,What is the greeting before going to bed?  ,おはよう.mp3,こんばんは.mp3,おやすみなさい.mp3,さようなら.mp3,ありがとう.mp3,3  
5,M01MCEA,What is the farewell greeting?  ,こんにちは.mp3,さようなら.mp3,おはよう.mp3,こんばんは.mp3,おやすみ.mp3,2  
6,M01MCEA,What is the expression used to show gratitude?  ,すみません.mp3,ありがとう.mp3,ごめんなさい.mp3,おめでとう.mp3,いってきます.mp3,2  
7,M01MCEA,What is the expression used when you have been impolite?  ,ありがとう.mp3,すみません.mp3,おはよう.mp3,こんにちは.mp3,おかえり.mp3,2  
8,M01MCEA,What is the greeting when you meet someone for the first time?  ,はじめまして.mp3,おはよう.mp3,こんばんは.mp3,おやすみ.mp3,さようなら.mp3,1  
9,M01MCEA,What is the expression after stating your name?  ,おねがいします.mp3,どうぞよろしく.mp3,ありがとう.mp3,ごちそうさま.mp3,いってらっしゃい.mp3,2  
10,M01MCEA,What is the greeting when going to school?  ,いってきます.mp3,おかえり.mp3,ただいま.mp3,いただきます.mp3,ごちそうさま.mp3,1  
11,M01MCEA,What is the greeting when you return home?  ,いってらっしゃい.mp3,おかえりなさい.mp3,おはよう.mp3,こんにちは.mp3,おやすみ.mp3,2  
12,M01MCEA,What is the expression before eating?  ,ごちそうさま.mp3,いただきます.mp3,おめでとう.mp3,がんばって.mp3,きをつけて.mp3,2  
13,M01MCEA,What is the expression after eating?  ,いただきます.mp3,ごちそうさま.mp3,おはよう.mp3,こんばんは.mp3,おやすみ.mp3,2  
14,M01MCEA,What is the expression used when apologizing?  ,ありがとう.mp3,すみません.mp3,おめでとう.mp3,どういたしまして.mp3,いってらっしゃい.mp3,2  
15,M01MCEA,What is the expression used when congratulating someone?  ,ごめんなさい.mp3,おめでとう.mp3,ありがとう.mp3,どうぞ.mp3,すみません.mp3,2  
16,M01MCEA,What is the expression used when asking for help?  ,おねがいします.mp3,どういたしまして.mp3,ごちそうさま.mp3,いってきます.mp3,おかえり.mp3,1  
17,M01MCEA,What is the expression used for replying?  ,どうぞ.mp3,どういたしまして.mp3,おはよう.mp3,こんにちは.mp3,おやすみ.mp3,2  
18,M01MCEA,What is the expression used when handing something over?  ,どういたしまして.mp3,どうぞ.mp3,すみません.mp3,ごめんなさい.mp3,おめでとう.mp3,2  
19,M01MCEA,What is the greeting for someone who is heading out?  ,いってらっしゃい.mp3,いってきます.mp3,おかえり.mp3,ただいま.mp3,ごちそうさま.mp3,1  
20,M01MCEA,What is the expression used when starting work?  ,がんばって.mp3,おめでとう.mp3,ごちそうさま.mp3,おはよう.mp3,こんにちは.mp3,1  
21,M01MCEA,What is the expression used when something is dangerous?  ,きをつけて.mp3,おめでとう.mp3,どうぞ.mp3,どういたしまして.mp3,おはよう.mp3,1  
