コーヒーを飲もうか。; Shall we drink coffee?
セントラルパークを散歩しよう。; Let's take a walk in Central Park.
図書館で勉強しよう。; Let's study at the library.
週末に映画を見よう。; Let's watch a movie on the weekend.
友達にメールを書こう。; Let's write an email to a friend.
日本語を練習しよう。; Let's practice Japanese.
あの新しいレストランに行ってみよう。; Let's try going to that new restaurant.
MOMAで美術を見よう。; Let's see art at MOMA.
宿題をしよう。; Let's do homework.
音楽を聞こう。; Let's listen to music.
晩ご飯を作ろう。; Let's make dinner.
テニスをしよう。; Let's play tennis.
バスに乗ろう。; Let's take the bus.
駅まで歩こう。; Let's walk to the station.
ニューヨークの写真を撮ろう。; Let's take pictures of New York.
テストの復習をしよう。; Let's review for the test.
高橋先生に会おう。; Let's meet Professor Takahashi.
安いホテルを探そう。; Let's look for a cheap hotel.
地下鉄で行こう。; Let's go by subway.
タイムズスクエアを見に行こう。; Let's go see Times Square.
本を買おう。; Let's buy a book.
手紙を出そう。; Let's mail a letter.
あのコンサートに行こう。; Let's go to that concert.
日本語で話そう。; Let's speak in Japanese.
晩ご飯はピザにしよう。; Let's have pizza for dinner.
プレゼントを選ぼう。; Let's choose a present.
コーヒーショップで休もう。; Let's rest at the coffee shop.
部屋を掃除しよう。; Let's clean the room.
ビールを飲もう。; Let's drink beer.
公園でサッカーをしよう。; Let's play soccer in the park.
天気がいいから外に行こう。; The weather is nice, so let's go outside.
自由の女神を見に行こう。; Let's go see the Statue of Liberty.
月曜日に銀行に行こう。; Let's go to the bank on Monday.
あの店で服を買おう。; Let's buy clothes at that store.
ニュースを見よう。; Let's watch the news.
カフェでお茶をしよう。; Let's have tea at a cafe.
電話をかけよう。; Let's make a phone call.
誕生日パーティーをしよう。; Let's have a birthday party.
夜、友達と会おう。; Let's meet friends at night.
土曜日に買い物をしよう。; Let's go shopping on Saturday.
あの本を読もう。; Let's read that book.
音楽を聞きながら勉強しよう。; Let's study while listening to music.
映画の後で食事をしよう。; Let's eat after the movie.
ゲームをしよう。; Let's play a game.
冬休みにスキーをしよう。; Let's go skiing during winter break.
日曜日に洗濯をしよう。; Let's do laundry on Sunday.
ケーキを作ろう。; Let's make a cake.
新しい言葉を覚えよう。; Let's memorize new words.
ジョギングをしよう。; Let's go jogging.
ブロードウェイのミュージカルを見よう。; Let's see a Broadway musical.
