写真を撮らないでください; Please don't take pictures.
大きな声で話さないでください; Please don't speak loudly.
ここにゴミを捨てないでください; Please don't throw trash here.
芝生に入らないでください; Please don't walk on the grass.
展示物に触らないでください; Please don't touch the exhibits.
走らないでください; Please don't run.
食べ物を食べないでください; Please don't eat food.
ペンで書かないでください; Please don't write with a pen.
遅れないでください; Please don't be late.
携帯電話を使わないでください; Please don't use your cell phone.
自転車に乗らないでください; Please don't ride a bicycle.
ここで泳がないでください; Please don't swim here.
花を取らないでください; Please don't pick the flowers.
ここでたばこを吸わないでください; Please don't smoke here.
ドアを開けないでください; Please don't open the door.
窓を閉めないでください; Please don't close the window.
電気を消さないでください; Please don't turn off the lights.
音楽を大きくしないでください; Please don't turn the music up.
ここに車を止めないでください; Please don't park your car here.
動物に餌をあげないでください; Please don't feed the animals.
セントラルパークでボールを投げないでください; Please don't throw balls in Central Park.
メトロポリタン美術館でフラッシュを使わないでください; Please don't use flash in the Metropolitan Museum of Art.
地下鉄で寝ないでください; Please don't sleep on the subway.
タイムズスクエアで立ち止まらないでください; Please don't stop and stand in Times Square.
高いお金を払わないでください; Please don't pay a lot of money.
チップを忘れないでください; Please don't forget the tip.
パスポートを見せないでください; Please don't show your passport.
英語で話さないでください; Please don't speak in English.
道を間違えないでください; Please don't take the wrong road.
バッグを置かないでください; Please don't leave your bag.
一人で行かないでください; Please don't go alone.
エンパイアステートビルで焦らないでください; Please don't rush at the Empire State Building.
ブルックリン橋で自撮りをしないでください; Please don't take selfies on the Brooklyn Bridge.
5番街で全部のお店に入らないでください; Please don't go into every store on 5th Avenue.
スターバックスで長く座らないでください; Please don't sit for a long time at Starbucks.
ホットドッグをたくさん食べないでください; Please don't eat too many hot dogs.
観光バスに乗り遅れないでください; Please don't miss the tour bus.
ニューヨークの地下鉄で迷わないでください; Please don't get lost on the New York subway.
自由の女神像の階段で疲れないでください; Please don't get tired on the Statue of Liberty stairs.
小さな子供を連れて行かないでください; Please don't bring small children.
たくさんお金を使わないでください; Please don't spend a lot of money.
予約をしないでください; Please don't make a reservation.
チケットをなくさないでください; Please don't lose your ticket.
ガイドブックを持たないでください; Please don't carry a guidebook.
雨の日に傘を持たないでください; Please don't carry an umbrella on a rainy day.
朝早く起きないでください; Please don't wake up early in the morning.
夜遅くまで起きていないでください; Please don't stay up late at night.
重いスーツケースを持たないでください; Please don't carry a heavy suitcase.
ブロードウェイのショーで歌わないでください; Please don't sing during the Broadway show.
ヤンキースタジアムで大きな声を出さないでください; Please don't yell loudly at Yankee Stadium.
