日本语の例文; 英語の訳
週末にセントラルパークでピクニックをするつもりです。; I intend to have a picnic in Central Park on the weekend.
メトロポリタン美術館へ行くつもりです。; I plan to go to the Metropolitan Museum of Art.
来月、ブロードウェイのミュージカルを見に行くつもりです。; I plan to go see a Broadway musical next month.
友達とロックフェラーセンターへ行くつもりだ。; I intend to go to Rockefeller Center with my friend.
高いビルには登らないつもりです。; I don't plan to go up tall buildings.
ニューヨークの地下鉄で迷わないつもりだ。; I intend not to get lost on the New York subway.
図書館でたくさん勉強するつもりです。; I plan to study a lot at the library.
タイムズスクエアで写真を撮るつもりです。; I plan to take pictures in Times Square.
あまりお金を使わないつもりだ。; I don't plan to spend much money。
自由の女神を見にフェリーに乗るつもりです。; I plan to take the ferry to see the Statue of Liberty。
新しいレストランで晩ご飯を食べるつもりです。; I plan to eat dinner at a new restaurant。
大きいかばんを買うつもりはありません。; I don't intend to buy a big bag。
週末は勉強するつもりです。; I intend to study on the weekend。
サッカーをするつもりです。; I plan to play soccer。
日曜日に洗濯をするつもりです。; I plan to do laundry on Sunday。
毎日、日本語を勉強するつもりだ。; I intend to study Japanese every day。
コーヒーを飲むつもりです。; I plan to drink coffee。
手紙を書くつもりはありません。; I don't intend to write a letter。
電車で駅まで行くつもりです。; I plan to go to the station by train。
テレビを見ないつもりだ。; I don't plan to watch TV。
あした、テストがあるので、晩に復習するつもりです。; Since I have a test tomorrow, I plan to review in the evening。
銀行でお金をおろすつもりです。; I plan to withdraw money at the bank。
ニューヨークの友達に会うつもりです。; I plan to meet my friend in New York。
プレゼントを買うつもりです。; I plan to buy a present。
コンサートに行くつもりはありません。; I don't intend to go to the concert。
彼女に電話をするつもりだ。; I intend to call my girlfriend。
料理をするつもりです。; I plan to cook。
晩ご飯の後で散歩をするつもりです。; I plan to take a walk after dinner。
あしたの朝、早く起きるつもりです。; I plan to wake up early tomorrow morning。
ジムで運動するつもりです。; I plan to exercise at the gym。
週末、どこにも行かないつもりだ。; I don't plan to go anywhere on the weekend。
本を読むつもりです。; I plan to read a book。
音楽を聞くつもりです。; I plan to listen to music。
公園でランニングをするつもりです。; I plan to go running in the park。
セントラルパークでボートに乗るつもりです。; I plan to ride a boat in Central Park。
美術館で日本の美術を見るつもりです。; I plan to see Japanese art at the museum。
高いレストランでは食べないつもりです。; I don't plan to eat at expensive restaurants。
ニューヨークのホテルに泊まるつもりです。; I plan to stay at a hotel in New York。
たくさん歩くつもりなので、いい靴を履くつもりです。; Since I plan to walk a lot, I intend to wear good shoes。
天気がいいから、外でランチをするつもりだ。; Because the weather is nice, I plan to have lunch outside。
母にニューヨークのTシャツを送るつもりです。; I plan to send my mother a New York T-shirt。
観光バスに乗るつもりです。; I plan to ride the sightseeing bus。
冬にまたニューヨークへ来るつもりです。; I plan to come back to New York in the winter。
クリスマスの飾りを見に行くつもりです。; I plan to go see the Christmas decorations。
会社で働くつもりです。; I plan to work at a company。
大学で経済学を勉強するつもりだ。; I intend to study economics at university。
土曜日は掃除をするつもりです。; I plan to clean on Saturday。
日曜日は何もするつもりはありません。; I don't plan to do anything on Sunday。
友達の誕生日パーティーに行くつもりです。; I plan to go to my friend's birthday party。
次の休みにドライブするつもりです。; I plan to go for a drive on my next day off。
