ドアを開けます; I open the door
ドアが開きます; The door opens
電気を消します; I turn off the light
電気が消えます; The light goes off
音楽を始めます; I start the music
音楽が始まります; The music begins
窓を閉めます; I close the window
窓が閉まります; The window closes
エアコンを止めます; I stop the air conditioner
エアコンが止まります; The air conditioner stops
パソコンをつけます; I turn on the computer
パソコンがつきます; The computer turns on
冷蔵庫を壊します; I break the refrigerator
冷蔵庫が壊れます; The refrigerator breaks
本を集めます; I gather the books
本が集まります; The books gather
コップを割ります; I break the cup
コップが割れます; The cup breaks
お金を落とします; I drop the money
お金が落ちます; The money falls
切符をなくします; I lose the ticket
切符がなくなります; The ticket gets lost
ボタンを押します; I push the button
ボタンが押せます; The button can be pushed / The button is pushed
服を汚します; I get my clothes dirty
服が汚れます; The clothes get dirty
荷物を出します; I take out the luggage
荷物が出ます; The luggage comes out
カバンをしまいます; I put away the bag
カバンがしまいます; The bag gets put away
資料を揃えます; I arrange the documents
資料が揃います; The documents are in order
ニュースを終わらせます; I end the news
ニュースが終わります; The news ends
メトロのドアを開けます; I open the subway door (in NYC)
メトロのドアが開きます; The subway door opens (in NYC)
セントラルパークでゴミを集めます; I pick up trash in Central Park
セントラルパークに人が集まります; People gather in Central Park
タイムズスクエアの電気がつきます; The lights turn on in Times Square
店員がタイムズスクエアの電気をつけます; The clerk turns on the lights in Times Square
自由の女神像の写真を撮ります; I take a picture of the Statue of Liberty
自由の女神像が背景に映ります; The Statue of Liberty appears in the background
エンパイアステートビルの窓を閉めます; I close the window of the Empire State Building
エンパイアステートビルの窓が閉まります; The window of the Empire State Building closes
ロックフェラーセンターのスケートリンクを始めます; They open the Rockefeller Center skating rink
ロックフェラーセンターのスケートリンクが始まります; The Rockefeller Center skating rink opens
ブロードウェイのショーを終わらせます; I end the Broadway show
ブロードウェイのショーが終わります; The Broadway show ends
MOMAで絵を見つけます; I find a painting at MoMA
MOMAで良い絵が見つかります; A good painting is found at MoMA
地下鉄の切符をなくします; I lose my subway ticket
地下鉄の切符がなくなります; My subway ticket gets lost
ホットドッグの店を開けます; I open a hot dog stand
新しいホットドッグの店が開きます; A new hot dog stand opens
高層ビルのエレベーターを止めます; I stop the elevator in the skyscraper
高層ビルのエレベーターが止まります; The elevator in the skyscraper stops
5番街で財布を落とします; I drop my wallet on 5th Avenue
5番街で財布が落ちます; A wallet drops on 5th Avenue
ジャズコンサートを始めます; I start the jazz concert
ジャズコンサートが始まります; The jazz concert begins
ブルックリンブリッジを渡ります; I cross the Brooklyn Bridge
ブルックリンブリッジが渡れます; The Brooklyn Bridge can be crossed
ヤンキースタジアムのゲートを閉めます; They close the gate at Yankee Stadium
ヤンキースタジアムのゲートが閉まります; The gate at Yankee Stadium closes
図書館の本を破ります; I tear the library book
図書館の本が破れます; The library book tears
カフェのコーヒーを冷まします; I let the café coffee cool down
カフェのコーヒーが冷めます; The café coffee gets cold
スマートフォンの電源を入れます; I turn on my smartphone
スマートフォンの電源が入ります; My smartphone turns on
グラウンドの水を凍らせます; I freeze the water on the ground
グラウンドの水が凍ります; The water on the ground freezes
美術館のチケットを予約します; I reserve a museum ticket
美術館のチケットが予約できます; Museum tickets can be reserved
NYの住所を変えます; I change my NYC address
NYの住所が変わります; My NYC address changes
セントラルパークのベンチを直します; I fix the bench in Central Park
セントラルパークのベンチが直ります; The bench in Central Park gets fixed
大学のプロジェクトを進めます; I advance the university project
大学のプロジェクトが進みます; The university project progresses
ラジオシティの音楽を聞きます; I listen to the music at Radio City
ラジオシティの音楽が聞こえます; The music from Radio City can be heard
アッパーウエストサイドのアパートを借ります; I rent an apartment on the Upper West Side
アッパーウエストサイドのアパートが借りられます; An apartment on the Upper West Side can be rented
ワールドトレードセンターのエレベーターを動かします; I operate the World Trade Center elevator
ワールドトレードセンターのエレベーターが動きます; The World Trade Center elevator moves
マディソンスクエアガーデンの試合を中止します; I cancel the game at Madison Square Garden
マディソンスクエアガーデンの試合が中止になります; The game at Madison Square Garden is canceled
NYの歴史を調べます; I research NYC history
NYの歴史がわかります; I understand NYC history / NYC history becomes clear
地下鉄の地図を広げます; I unfold the subway map
地下鉄の地図が広がります; The subway map unfolds
