窓が開いている; The window is open.
弟は今、アメリカに住んでいる; My younger brother is living in America now.
父は銀行で働いている; My father is working at a bank.
私は黒いセーターを着ている; I am wearing a black sweater.
母は今、台所に立っている; My mother is standing in the kitchen now.
ジムさんは眼鏡をかけている; Jim is wearing glasses.
猫がソファの上で寝ている; The cat is sleeping on the sofa.
私は今、日本語を勉強している; I am studying Japanese now.
あの店は閉まっている; That store is closed.
山田さんは車を持っている; Mr. Yamada has a car.
ニューヨークに友達が住んでいる; I have a friend living in New York.
学生たちは図書館に集まっている; The students are gathered in the library.
姉は今、電話で話している; My older sister is talking on the phone now.
私は毎日、六時に起きている; I wake up at six every day.
あの人は有名な俳優をしている; That person is a famous actor.
テーブルの上に花が飾ってある; Flowers are decorated on the table.
私はニューヨークの地図を持っている; I have a map of New York.
窓が割れている; The window is broken.
彼は大きな時計を持っている; He has a big watch.
先生は教室に入っている; The teacher is in the classroom.
私は赤い靴を履いている; I am wearing red shoes.
コーヒーカップが汚れている; The coffee cup is dirty.
父は新聞を読んでいる; My father is reading a newspaper.
冷蔵庫に牛乳が入っている; There is milk in the refrigerator.
彼女は長いスカートを穿いている; She is wearing a long skirt.
私はセントラルパークを知っている; I know Central Park.
ドアに鍵がかかっている; The door is locked.
妹は今、ピアノを練習している; My younger sister is practicing piano now.
あのビルはとても高くなっている; That building has become very tall.
私はブロードウェイのミュージカルを見ている; I am watching a Broadway musical.
彼は新しい車を運転している; He is driving a new car.
食堂にたくさんの人が並んでいる; Many people are lining up in the cafeteria.
私は今、宿題を終わらせている; I am finishing my homework now.
木の葉が落ちている; The leaves have fallen.
彼は太っている; He is fat.
ニューヨークの写真を撮っている; I am taking pictures of New York.
私は毎朝、ジョギングをしている; I go jogging every morning.
あの猫は死んでいる; That cat is dead.
彼女は結婚している; She is married.
壁にポスターが貼ってある; A poster is put up on the wall.
私はマンハッタンに住んでいる; I live in Manhattan.
彼は今、シャワーを浴びている; He is taking a shower now.
テレビがついている; The TV is on.
私はイタリア料理を食べている; I am eating Italian food.
あのレストランは混んでいる; That restaurant is crowded.
私はメトロポリタン美術館に行っている; I am going to the Metropolitan Museum of Art.
彼は青いシャツを着ている; He is wearing a blue shirt.
本棚に本が並んでいる; Books are lined up on the bookshelf.
私はニューヨークタイムズを読んでいる; I am reading the New York Times.
電気が消えている; The light is off.
彼らは公園でサッカーをしている; They are playing soccer in the park.
