どこかに行きましたか。; Did you go somewhere?
どこにも行きませんでした。; I didn't go anywhere.
週末にどこかに出かけますか。; Will you go out somewhere this weekend?
いいえ、どこにも行きません。; No, I won't go anywhere.
ニューヨークでどこかにいいレストランがありますか。; Is there a good restaurant somewhere in New York?
今日はどこかにおいしいコーヒーを買いに行きましょう。; Let's go somewhere to buy delicious coffee today.
バッグの中にどこかにペンがありますか。; Is there a pen somewhere in the bag?
図書館に誰かいますか。いいえ、どこにもいません。; Is anyone in the library? No, there is no one anywhere.
夏休みにどこかへ旅行しますか。; Will you travel somewhere for summer vacation?
どこにも旅行しません。; I won't travel anywhere.
どこかで昼ごはんを食べましょう。; Let's eat lunch somewhere.
セントラルパークのどこかで友達と会います。; I will meet my friend somewhere in Central Park.
この近くにどこかで切手を買えますか。; Can I buy stamps somewhere around here?
駅にどこにも売っていませんでした。; They weren't selling them anywhere at the station.
メトロポリタン美術館はどこかにありますか。; Is the Metropolitan Museum of Art somewhere around here?
宿題の紙をどこかに置きました。; I put my homework paper somewhere.
かばんを探しましたが、どこにもありません。; I looked for my bag, but it isn't anywhere.
ニューヨークにどこか安いホテルを知っていますか。; Do you know any cheap hotels somewhere in New York?
どこか静かなところで勉強したいです。; I want to study somewhere quiet.
この大学にどこにも静かな教室がありません。; There are no quiet classrooms anywhere in this university.
週末にどこか面白いところに行きませんか。; Shall we go somewhere interesting this weekend?
時間がありませんから、どこにも行けません。; Because I don't have time, I can't go anywhere.
どこかでトイレをお借りできますか。; May I use your restroom somewhere?
このビルにはどこにもトイレがありません。; There are no restrooms anywhere in this building.
どこかで財布を落としました。; I dropped my wallet somewhere.
５番街のどこかでシャツを買いたいです。; I want to buy a shirt somewhere on 5th Avenue.
どこにもいいシャツがありませんでした。; There weren't any good shirts anywhere.
どこかでコーヒーを飲みませんか。; Would you like to drink coffee somewhere?
今、どこにも行きたくありません。; I don't want to go anywhere now.
昼休みにどこかへ行きましたか。; Did you go somewhere during lunch break?
いいえ、どこにも行きませんでした。; No, I didn't go anywhere.
どこかでこの本を読みました。; I read this book somewhere.
この音楽をどこかで聞きました。; I heard this music somewhere.
ニューヨークのどこかでコンサートがあります。; There is a concert somewhere in New York.
チケットはどこにも売っていません。; Tickets aren't sold anywhere.
どこかで安いノートを買いたいです。; I want to buy a cheap notebook somewhere.
この近くに本屋はどこかにありますか。; Is there a bookstore somewhere near here?
地下鉄の駅にどこにもいませんでした。; He wasn't anywhere at the subway station.
友達をどこかで探さなければなりません。; I have to look for my friend somewhere.
どこかでパーティーがありますか。; Is there a party somewhere?
いいえ、どこにもパーティーはありません。; No, there isn't a party anywhere.
どこかから音がします。; A sound is coming from somewhere.
この問題の答えはどこにも書いていません。; The answer to this problem isn't written anywhere.
どこかへ遊びに行きましょう。; Let's go somewhere to have fun.
今週は忙しいから、どこへも行けません。; Because I'm busy this week, I can't go anywhere.
どこかでまっすぐな道を探してください。; Please look for a straight road somewhere.
この地図にはどこにも書いていません。; It's not written anywhere on this map.
ニューヨークのどこかで写真を撮りたいです。; I want to take pictures somewhere in New York.
どこかへ手紙を出しに行きます。; I will go somewhere to mail a letter.
このネクタイをどこかで買いました。; I bought this tie somewhere.
どこにもそんな店はありません。; There is no such store anywhere.
どこかから手紙が来ました。; A letter came from somewhere.
どこにも私の名前はありません。; My name isn't anywhere.
どこかで会いましょう。; Let's meet somewhere.
明日はどこにも行きません。; I won't go anywhere tomorrow.
どこかでたばこを吸ってもいいですか。; May I smoke somewhere?
この建物ではどこにも吸えません。; You can't smoke anywhere in this building.
