メアリーさんは髪が長いです; Mary has long hair.
この建物はエレベーターが新しいです; This building has a new elevator.
ワンさんは車が小さいです; Mr. Wang has a small car.
ニューヨークのホテルは部屋がきれいです; Hotels in New York have clean rooms.
このレストランは料理が高いです; This restaurant has expensive food.
わたしのアパートは台所が広いです; My apartment has a large kitchen.
セントラルパークは木が多いです; Central Park has many trees.
このカフェはコーヒーがおいしいです; This cafe has delicious coffee.
ジョンさんはかばんが古いです; John has an old bag.
あの図書館は本がたくさんあります; That library has many books.
メトロポリタン美術館は絵が有名です; The Metropolitan Museum of Art has famous paintings.
トムさんは時計がありません; Tom doesn't have a watch.
この通りは店が少ないです; This street has few shops.
わたしの友達はパソコンが新しいです; My friend has a new computer.
タイムズスクエアはネオンが明るいです; Times Square has bright neon lights.
この大学は学生が多いです; This university has many students.
マリアさんは眼鏡が似合います; Glasses look good on Maria.
ニューヨークの冬は天気が寒いです; The weather in New York is cold in winter.
この公園はベンチが便利です; This park has convenient benches.
わたしの父は車が二台あります; My father has two cars.
あのビルはエレベーターが速いです; That building has a fast elevator.
ブロードウェイのショーは音楽が有名です; Broadway shows have famous music.
この駅は電車が便利です; This station has convenient trains.
サラさんは宿題がたくさんあります; Sarah has a lot of homework.
このカバンはポケットが大きいです; This bag has large pockets.
ニューヨークの夏は日が長いです; The days are long in New York summer.
このカメラはフィルムが高いです; This camera has expensive film.
わたしの母は仕事が忙しいです; My mother is busy with work.
あの美術館は入場料が安いです; That museum has a cheap admission fee.
このスーパーは野菜が新鮮です; This supermarket has fresh vegetables.
ロックフェラーセンターの氷が滑りやすいです; The ice at Rockefeller Center is slippery.
この教室は窓が大きいです; This classroom has large windows.
わたしの弟はゲームが好きです; My younger brother likes games.
ニューヨークの地下鉄は駅がたくさんあります; The New York subway has many stations.
このレストランはメニューが英語だけです; This restaurant's menu is only in English.
あの喫茶店は窓の景色がきれいです; That coffee shop has a beautiful window view.
このホテルはシャワーが熱いです; This hotel has hot showers.
わたしの姉は英語の本がたくさんあります; My older sister has many English books.
自由の女神はたいへん大きいです; The Statue of Liberty is very big.
このカバンは重くないです; This bag is not heavy.
あの店員は親切ではありません; That clerk is not kind.
このテストは問題が難しいです; This test has difficult problems.
ニューヨークのパンはおいしくないです; New York bread is not delicious.
この道は交通が便利です; This road has convenient traffic.
わたしのラジオは音が小さいです; My radio has a small sound.
あの映画館はスクリーンが大きいです; That movie theater has a large screen.
このプールは水が冷たいです; This pool has cold water.
ニューヨークの秋は木の葉が赤いです; The tree leaves are red in New York autumn.
このいすは足が痛いです; This chair makes my legs hurt.
わたしのノートは字が汚いです; The writing in my notebook is messy.
