メアリーさんはアメリカ人です; Mary is American.
さとうさんは日本人です; Mr. Sato is Japanese.
わたしはがくせいです; I am a student.
ジョンさんは先生です; John is a teacher.
これはほんです; This is a book.
それはざっしです; That is a magazine.
あれはでんわです; That over there is a telephone.
これはえんぴつです; This is a pencil.
それはじしょです; That is a dictionary.
あれはノートです; That over there is a notebook.
わたしはイギリス人です; I am British.
あなたはドイツ人です; You are German.
スミスさんはカナダ人です; Smith is Canadian.
ミラーさんは会社員です; Mr. Miller is an office worker.
これはかばんです; This is a bag.
それは時計です; That is a watch.
あれはテレビです; That over there is a TV.
これはコンピューターです; This is a computer.
それは机です; That is a desk.
あれは椅子です; That over there is a chair.
わたしは学生じゃないです; I am not a student.
あなたは先生じゃないです; You are not a teacher.
これは本じゃないです; This is not a book.
それは新聞じゃないです; That is not a newspaper.
あれは傘じゃないです; That over there is not an umbrella.
メアリーさんは学生です; Mary is a student.
ジョンさんは会社員です; John is an office worker.
これは辞書です; This is a dictionary.
それは雑誌です; That is a magazine.
あれは机です; That over there is a desk.
わたしは日本人じゃないです; I am not Japanese.
あなたはアメリカ人じゃないです; You are not American.
スミスさんは先生じゃないです; Mr. Smith is not a teacher.
これはノートじゃないです; This is not a notebook.
それはえんぴつじゃないです; That is not a pencil.
あれはかばんじゃないです; That over there is not a bag.
キムさんは韓国人です; Kim is Korean.
ワンさんは中国人です; Wang is Chinese.
これは時計です; This is a watch.
それは椅子です; That is a chair.
あれは電話です; That over there is a telephone.
わたしは医者じゃないです; I am not a doctor.
あなたはエンジニアじゃないです; You are not an engineer.
これはテレビじゃないです; This is not a TV.
それはコンピューターじゃないです; That is not a computer.
あれは新聞じゃないです; That over there is not a newspaper.
トムさんはオーストラリア人です; Tom is Australian.
アンナさんは学生です; Anna is a student.
これは傘です; This is an umbrella.
それは新聞です; That is a newspaper.
