ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M15MCR1,What is the correct description about the room?,きれいです,おいしいです,しずかです,ちいさいです,おおきいです,1
2,M15MCR1,Which adjective correctly describes テーブル?,あたらしい,ふるい,ちいさい,すきな,おいしい,1
3,M15MCR1,How is the room's past condition described?,しずかじゃない,きれいじゃない,おおきくない,すきじゃない,よくない,1
4,M15MCR1,What describes the supermarket atmosphere?,にぎやかです,たのしいです,おおきいです,ちいさいです,やすいです,1
5,M15MCR1,Which two adjectives describe the cake?,やすくておいしい,あたらしい,ちいさい,おおきい,たかい,1
6,M15MCR2,What is the correct description about the library?,quiet,hot,expensive,new,small,1
7,M15MCR2,How was the classroom?,clean,delicious,cold,convenient,lively,1
8,M15MCR2,Which word describes Ken?,kind and funny,smart and tall,kind and smart,difficult and quiet,handsome and lively,1
9,M15MCR2,What was the park like?,cool,small,new,quiet,convenient,1
10,M15MCR2,How was the dinner?,delicious,interesting,expensive,beautiful,cheap,1
11,M15MCR3,What is the correct description about Takeshi?,He is tall.,He is smart.,He is quiet.,He is handsome.,He is lively.,1
12,M15MCR3,What does 天気はあまりよくありませんでした mean?,The weather wasn't good.,Tempura was expensive.,The weather was good.,Tempura was delicious.,The spirit was low.,1
13,M15MCR3,What is the correct description about sandwitches?,delicious,funny,expensive,big,cheap,1
14,M15MCR3,What is the correct description about the library?,しずかです,やさしいです,きれいです,おもしろいです,おいしいです,1
15,M15MCR3,How to say -- a new book?,あたらしいほん,むずかしいほん,きれいなほん,たかいほん,おもしろいほん,1
16,M15MCR4,What is the correct description about the classroom?,おおきい,おいしい,ゆうめい,おいしい,たかい,1
17,M15MCR4,Which adjective describes こうえん?,にぎやかな,しずかな,ゆうめいな,げんきな,おおきい,1
18,M15MCR4,What does さむい mean?,cold,warm,rainy,beautiful,quiet,1
19,M15MCR4,How was the day?,たのしかったです,ゆうめいでした,おおきかったです,やすかったです,たかかったです,1
20,M15MCR4,How is the lunch described?,おいしい,たのしい,たかい,きれい,おおきい,1
21,M15MCR5,Which adjective describes ともだち?,しんせつです,しずかです,ゆうめいです,げんきです,おおきいです,1
22,M15MCR5,Which adjective describes へや?,ひろくない,おおきくない,きれいじゃない,やすくない,ゆうめいじゃない,1
23,M15MCR5,Which adjective describes としょかん?,しずかな,にぎやかな,ゆうめいな,げんきな,おおきい,1
24,M15MCR5,How was the cake?,あまかったです,やすかったです,たかかったです,ゆうめいでした,おおきかったです,1
25,M15MCR5,How was the day?,busy,hot,lively,quiet,clean,1
