リーさんはＴシャツを三枚買いました。; Lee-san bought three T-shirts.
セントラルパークで写真を五枚撮りました。; I took five pictures in Central Park.
友達二人とタイムズスクエアへ行きます。; I will go to Times Square with two friends.
あのレストランでホットドッグを二つ食べました。; I ate two hot dogs at that restaurant.
図書館で本を四冊借りました。; I borrowed four books from the library.
日本語のクラスに学生が十五人います。; There are fifteen students in the Japanese class.
コーヒーを三杯飲みました。; I drank three cups of coffee.
ニューヨークに大きい空港が二つあります。; There are two big airports in New York.
週に二回、ジムへ行きます。; I go to the gym twice a week.
ここに鉛筆が六本あります。; There are six pencils here.
月曜日にメールを七通書きました。; I wrote seven emails on Monday.
駅の近くにコンビニが三軒あります。; There are three convenience stores near the station.
チケットを四枚ください。; Please give me four tickets.
毎日、水を五杯飲みます。; I drink five glasses of water every day.
りんごを一個食べました。; I ate one apple.
週末に映画を二本見ました。; I watched two movies over the weekend.
このカフェにテーブルが八つあります。; There are eight tables in this cafe.
私は兄弟が三人います。; I have three siblings.
国語のテストが二つありました。; I had two Japanese language tests.
彼はニューヨークでアパートを二軒借りました。; He rented two apartments in New York.
彼女は猫を三匹飼っています。; She has three cats.
自転車を一台買いたいです。; I want to buy one bicycle.
机の上に雑誌が五冊あります。; There are five magazines on the desk.
レポートを三枚出しました。; I turned in three reports.
このビルにエレベーターが四台あります。; There are four elevators in this building.
ハンバーガーを二つ作りました。; I made two hamburgers.
公園で子供が十人遊んでいます。; Ten children are playing in the park.
卵を六個買いました。; I bought six eggs.
一年に一回、ニューヨークへ行きます。; I go to New York once a year.
この学校に先生が四十人います。; There are forty teachers in this school.
椅子を四つ運びました。; I carried four chairs.
窓が三つ開いています。; Three windows are open.
りんごを三つとオレンジを二つください。; Please give me three apples and two oranges.
シャツを五枚洗いました。; I washed five shirts.
テレビを一台部屋に置きました。; I put one TV in the room.
バナナを四本食べました。; I ate four bananas.
このカップルは子供が二人います。; This couple has two children.
ボールペンで手紙を三通書きました。; I wrote three letters with a ballpoint pen.
ニューヨークから手紙が一通来ました。; One letter came from New York.
紙を二枚使いました。; I used two sheets of paper.
車を二台持っています。; I have two cars.
美術館で絵を十枚見ました。; I saw ten paintings at the museum.
机を二つと椅子を四つ買いました。; I bought two desks and four chairs.
チョコレートを三箱もらいました。; I received three boxes of chocolate.
パンを一切れ食べます。; I will eat one slice of bread.
妹は人形を五体持っています。; My younger sister has five dolls.
教科書を二冊忘れました。; I forgot two textbooks.
コインを五枚拾いました。; I picked up five coins.
ニューヨークに友達が四人います。; I have four friends in New York.
一日に三回歯を磨きます。; I brush my teeth three times a day.
