魚が好きです; I like fish.
ニューヨークのセントラルパークが好きです; I like New York's Central Park.
コーヒーが好きですか; Do you like coffee?
あのレストランが好きじゃない; I don't like that restaurant.
数学がきらいです; I hate math.
宿題がきらいですか; Do you hate homework?
彼は犬が好きです; He likes dogs.
彼女は猫が好きじゃない; She doesn't like cats.
私は映画が好きです; I like movies.
あなたは音楽が好きですか; Do you like music?
ニューヨークのピザが好きです; I like New York pizza.
あの先生がきらいです; I hate that teacher.
テストがきらいですか; Do you hate tests?
私たちは日本語が好きです; We like Japanese.
私は朝が好きじゃない; I don't like mornings.
寒い天気がきらいです; I hate cold weather.
ニューヨークの冬が好きですか; Do you like New York winters?
彼はスポーツが好きです; He likes sports.
彼女は勉強がきらいです; She hates studying.
私は本が好きです; I like books.
あなたは車が好きですか; Do you like cars?
あの店が好きじゃない; I don't like that store.
肉がきらいです; I hate meat.
魚は好きですか; Do you like fish?
ニューヨークの美術館が好きです; I like New York museums.
学校がきらいですか; Do you hate school?
私は友達が好きです; I like friends.
彼はテレビが好きじゃない; He doesn't like TV.
彼女は雑誌が好きです; She likes magazines.
私はニューヨークが好きです; I like New York.
あなたは日本が好きですか; Do you like Japan?
コーラがきらいです; I hate cola.
お酒が好きですか; Do you like alcohol?
あの人がきらいです; I hate that person.
ニューヨークのエンパイアステートビルが好きです; I like New York's Empire State Building.
宿題が好きじゃない; I don't like homework.
日本語のクラスが好きです; I like Japanese class.
英語がきらいですか; Do you hate English?
私は映画館が好きです; I like movie theaters.
彼は公園が好きじゃない; He doesn't like parks.
彼女はニューヨークのブロードウェイが好きです; She likes New York's Broadway.
私はコンピューターが好きです; I like computers.
あなたは電話がきらいですか; Do you hate phones?
あのカフェが好きです; I like that cafe.
ニューヨークの地下鉄がきらいです; I hate the New York subway.
音楽が好きですか; Do you like music?
試験がきらいです; I hate exams.
私は写真が好きです; I like photographs.
彼はビデオゲームが好きじゃない; He doesn't like video games.
彼女は買い物が好きです; She likes shopping.
私は旅行が好きです; I like traveling.
あなたは料理がきらいですか; Do you hate cooking?
ニューヨークの夏が好きです; I like New York summers.
あの本がきらいです; I hate that book.
