窓が開いています。; The window is open.
ドアが閉まっています。; The door is closed.
電気がついています。; The light is on.
テレビが消えています。; The TV is off.
時計が壊れています。; The clock is broken。
眼鏡が割れています。; The glasses are broken。
シャツが汚れています。; The shirt is dirty。
木の葉が落ちています。; The leaves have fallen.
パソコンが壊れています。; The computer is broken.
ケーキが焼けています。; The cake is baked.
花が咲いています。; The flowers are blooming.
セントラルパークのベンチが壊れています。; The bench in Central Park is broken.
冷蔵庫のドアが開いています。; The refrigerator door is open.
自由の女神の写真が飾られています。; A picture of the Statue of Liberty is displayed.
道が混雑しています。; The road is congested.
タイムズスクエアの看板が光っています。; The signs in Times Square are lit up.
コーヒーが冷めています。; The coffee has gotten cold.
アイスが溶けています。; The ice cream is melting.
エンパイアステートビルの窓が光っています。; The windows of the Empire State Building are shining.
壁に絵がかかっています。; A picture is hanging on the wall.
車のエンジンがかかっています。; The car engine is running.
音楽が流れています。; Music is playing.
公園にゴミが落ちています。; Trash is lying on the ground in the park.
ニューヨークの空港が混雑しています。; The airport in New York is crowded.
床に本が散らばっています。; Books are scattered on the floor.
彼のスケジュールが決まっています。; His schedule is fixed.
メトロポリタン美術館のチケットが売り切れています。; The tickets for the Metropolitan Museum of Art are sold out.
バッテリーが切れています。; The battery is dead.
窓ガラスが割れています。; The window glass is broken.
ニューヨークマラソンの準備が整っています。; The preparations for the New York Marathon are complete.
ロックフェラーセンターのスケートリンクが開いています。; The skating rink at Rockefeller Center is open.
ビルの建設が進んでいます。; The construction of the building is progressing.
地下鉄のドアが閉まっています。; The subway doors are closed.
カーテンが閉まっています。; The curtains are closed.
ホテルの予約が入っています。; A hotel reservation is made.
橋がかかっています。; A bridge is built (spanning the river).
彼の考えは固まっています。; His opinion is fixed.
ワンワールドトレードセンターが見えています。; One World Trade Center is visible.
5番街のお店が閉まっています。; The stores on 5th Avenue are closed.
約束が決まっています。; The appointment is set.
洗濯物が乾いています。; The laundry is dry.
ピザが届いています。; The pizza has been delivered.
地図に道が描かれています。; The road is drawn on the map.
水道の水が出ています。; The tap water is running.
携帯電話の電源が入っています。; The cell phone is on.
ニューヨークの歴史が展示されています。; New York's history is exhibited.
会議室の予約が入っています。; The conference room is reserved.
スープが温まっています。; The soup is warmed up.
映画のチケットが取れています。; The movie tickets have been obtained.
ブロードウェイのチケットが売り切れています。; The Broadway tickets are sold out.
冷蔵庫にビールが冷えています。; The beer is chilled in the refrigerator.
電車の時間が変わっています。; The train schedule has changed.
彼女の髪が濡れています。; Her hair is wet.
カバンがしまっています。; The bag is put away.
エレベーターが動いています。; The elevator is operating.
コンピューターの電源が切れています。; The computer is turned off.
薬の効果が現れています。; The medicine's effect is appearing.
空港への道が混んでいます。; The road to the airport is crowded.
窓に水滴がついています。; Water droplets are on the window.
図書館の本が並んでいます。; The books in the library are lined up.
音楽会のプログラムが配られています。; The concert programs are being distributed.
