新しい映画; A new movie
高い時計; An expensive watch
小さいかばん; A small bag
大きい公園; A big park
有名な美術館; A famous art museum
静かな図書館; A quiet library
親切な人; A kind person
ハンサムな先生; A handsome teacher
きれいな店; A clean store
忙しい駅; A busy station
おいしいコーヒー; Delicious coffee
面白い本; An interesting book
楽しいパーティー; A fun party
白い猫; A white cat
黒い車; A black car
青い空; Blue sky
赤いりんご; A red apple
古い建物; An old building
暖かい部屋; A warm room
冷たい水; Cold water
易しいテスト; An easy test
難しい問題; A difficult problem
いい天気; Good weather
悪い映画; A bad movie
遠い国; A faraway country
近い店; A nearby store
長い映画; A long movie
短い手紙; A short letter
広い部屋; A spacious room
狭い道; A narrow road
重いドア; A heavy door
軽いかばん; A light bag
速い車; A fast car
遅い電車; A slow train
明るい部屋; A bright room
暗い公園; A dark park
正しい答え; The correct answer
変な人; A strange person
便利な駅; A convenient station
不便な場所; An inconvenient place
セントラルパークの大きい湖; The big lake in Central Park
ブロードウェイの有名な劇場; The famous theater on Broadway
タイムズスクエアのにぎやかな光; The lively lights of Times Square
自由の女神の古い像; The old statue of the Statue of Liberty
高いエンパイアステートビル; The tall Empire State Building
メトロポリタン美術館のきれいな絵; The beautiful paintings at the Metropolitan Museum of Art
ロックフェラーセンターの楽しいイベント; The fun events at Rockefeller Center
ニューヨークの忙しい空港; New York's busy airport
五番街の高い店; The expensive stores on Fifth Avenue
ブルックリンのおいしいピザ; The delicious pizza in Brooklyn
