メアリーさんは髪が長いです; Mary has long hair.
トムさんは目が青いです; Tom has blue eyes.
この美術館は入場料が高いです; This museum has a high admission fee.
セントラルパークは広さが大きいです; Central Park has a large size.
あの新しいレストランは料理がおいしいです; That new restaurant has delicious food.
私のアパートは台所が狭いです; My apartment has a small kitchen.
ニューヨークの冬は気温が低いです; New York winters have low temperatures.
駅までの距離が遠いです; The distance to the station is far.
このカフェのコーヒーが熱いです; The coffee at this cafe is hot.
図書館は静かです; The library is quiet.
地下鉄は便利です; The subway is convenient.
タイムズスクエアは人が多いです; There are many people in Times Square.
私の先生は厳しいです; My teacher is strict.
あのビルはエレベーターが古いです; That building's elevator is old.
このテストは問題が難しいです; This test has difficult problems.
マンハッタンのホテルは値段が高いです; Hotels in Manhattan have high prices.
彼女は手がきれいです; She has beautiful hands.
この道は安全です; This street is safe.
私の友達は車が新しいです; My friend has a new car.
この公園のベンチが硬いです; The benches in this park are hard.
ブロードウェイのミュージカルが面白いです; Broadway musicals are interesting.
私の部屋は窓が小さいです; My room has a small window.
あの店員は親切です; That store clerk is kind.
このスープの味が薄いです; This soup's taste is bland.
夏のニューヨークは湿度が高いです; New York summers have high humidity.
彼は頭がいいです; He is smart.
このチーズケーキが甘いです; This cheesecake is sweet.
美術館の絵が有名です; The museum's paintings are famous.
この椅子は座り心地が悪いです; This chair is uncomfortable to sit on.
バッグの色が赤いです; The bag's color is red.
駅のトイレが汚いです; The station's toilet is dirty.
彼の説明が短いです; His explanation is short.
この問題は答えが簡単です; The answer to this problem is easy.
自由の女神は大きいです; The Statue of Liberty is big.
私の靴が黒いです; My shoes are black.
あの交差点は危ないです; That intersection is dangerous.
この音楽がうるさいです; This music is loud.
彼女の声がきれいです; Her voice is beautiful.
この水が冷たいです; This water is cold.
この本の終わりが悲しいです; The end of this book is sad.
ニューヨークのパンがおいしいです; New York bread is delicious.
あのビルの屋上が高いです; That building's rooftop is high.
この道の幅が狭いです; This road's width is narrow.
彼の仕事が大変です; His job is tough.
この果物の値段が安いです; This fruit's price is cheap.
メトロポリタン美術館は広いです; The Metropolitan Museum of Art is spacious.
あの猫の目が緑です; That cat's eyes are green.
私のノートパソコンが重いです; My laptop is heavy.
このシャツのサイズが小さいです; This shirt's size is small.
セントラルパークの木が多いです; There are many trees in Central Park.
