コーヒーを飲もうか; Shall we drink coffee?
セントラルパークでピクニックしよう; Let's have a picnic in Central Park.
図書館で勉強しよう; Let's study at the library.
週末に美術館へ行こう; Let's go to the art museum on the weekend.
映画を見ようか; Shall we watch a movie?
新しいレストランを試そう; Let's try the new restaurant.
地下鉄で帰ろう; Let's go home by subway.
あのコンサートに行こうよ; Let's go to that concert.
明日、早起きしよう; Let's wake up early tomorrow.
自由の女神を見に行こう; Let's go see the Statue of Liberty.
宿題を終わらせよう; Let's finish our homework.
日本語を練習しよう; Let's practice Japanese.
テニスをしよう; Let's play tennis.
ブルックリン橋を歩いて渡ろう; Let's walk across the Brooklyn Bridge.
駅で会おう; Let's meet at the station.
プレゼントを買おう; Let's buy a present.
カフェでお茶を飲もう; Let's drink tea at the cafe.
音楽を聞こうか; Shall we listen to some music?
週末にダンスを習おう; Let's learn to dance on the weekend.
タイムズスクエアへ行こう; Let's go to Times Square.
手紙を書こう; Let's write a letter.
ジョギングをしよう; Let's go jogging.
友達に電話をかけよう; Let's call our friend.
ピザを食べよう; Let's eat pizza.
公園でサッカーをしよう; Let's play soccer in the park.
テストの勉強をしよう; Let's study for the test.
ニューヨークの写真を撮ろう; Let's take pictures of New York.
あの本を読もう; Let's read that book.
夜ご飯を作ろう; Let's make dinner.
バスで博物館へ行こう; Let's go to the museum by bus.
ゲームをしよう; Let's play a game.
高層ビルを見に行こう; Let's go see the skyscrapers.
スケートをしよう; Let's go ice skating.
天気がいいから散歩しよう; Since the weather is nice, let's go for a walk.
モダンアートを勉強しよう; Let's study modern art.
ニューヨークの歴史を調べよう; Let's research New York's history.
レポートを書こう; Let's write the report.
昼ご飯を食べに行こう; Let's go out for lunch.
コーヒーショップで休もう; Let's take a break at the coffee shop.
学校の後、買い物をしよう; Let's go shopping after school.
音楽番組を見よう; Let's watch a music program.
冬休みにスキーをしよう; Let's go skiing during winter break.
友達と話そう; Let's talk with friends.
ニューヨークの地図を見よう; Let's look at a map of New York.
夏祭りに行こう; Let's go to the summer festival.
あの有名な店で買い物をしよう; Let's go shopping at that famous store.
ホットドッグを食べよう; Let's eat a hot dog.
セントラルパークでボートに乗ろう; Let's ride a boat in Central Park.
学校のプロジェクトを始めよう; Let's start the school project.
次の休みに旅行を計画しよう; Let's plan a trip for the next holiday.
